DBid,Rewritten_Query
bike_1,"WITH palo_alto_count AS ( SELECT COUNT(*) AS count_pa FROM station WHERE city = 'Palo Alto' ) SELECT (SELECT count_pa FROM palo_alto_count) - COUNT(*) AS diff FROM station WHERE city = 'San Francisco'; "
bike_1,"SELECT 100.0 * COUNT(CASE WHEN dock_count > 25 THEN 1 END) / COUNT(*) AS proportion FROM station WHERE city = 'San Francisco'; "
driving_school," WITH StaffAvgPrice AS ( SELECT staff_id, AVG(price) AS avg_price FROM Lessons GROUP BY staff_id ), MinAvgPrice AS ( SELECT MIN(avg_price) AS min_avg_price FROM StaffAvgPrice ) SELECT A.staff_id, A.avg_price - M.min_avg_price AS diff FROM StaffAvgPrice A CROSS JOIN MinAvgPrice M ORDER BY A.avg_price DESC LIMIT 1; "
driving_school,"SELECT A.staff_id, AVG(A.price) - (SELECT AVG(price) FROM Lessons GROUP BY staff_id ORDER BY AVG(price) ASC LIMIT 1) AS diff FROM Lessons A GROUP BY A.staff_id ORDER BY AVG(A.price) DESC LIMIT 1"
formula_1," SELECT 1.0 * SUM(CASE WHEN country = 'USA' THEN 1 ELSE 0 END) / SUM(CASE WHEN country = 'Russia' THEN 1 ELSE 0 END) AS ratio FROM circuits WHERE country IN ('USA', 'Russia')"
formula_1," SELECT 1.0 * SUM(CASE WHEN country = 'USA' THEN 1 ELSE 0 END) / SUM(CASE WHEN country = 'UK' THEN 1 ELSE 0 END) AS ratio FROM races A JOIN circuits B ON A.circuitId = B.circuitId WHERE A.year BETWEEN 2001 AND 2009 AND country IN ('USA', 'UK') "
hospital_1," WITH foo_patients AS ( SELECT DISTINCT Patient FROM Medication A JOIN Prescribes B ON A.code = B.Medication WHERE A.Brand = 'Foo Labs' ), baz_patients AS ( SELECT DISTINCT Patient FROM Medication A JOIN Prescribes B ON A.code = B.Medication WHERE A.Brand = 'Baz Industries' ) SELECT COUNT(*) - (SELECT COUNT(*) FROM baz_patients) AS diff FROM foo_patients; "
hospital_1," WITH TrainingCounts AS ( SELECT Physician, COUNT(*) AS training_count FROM Trained_In GROUP BY Physician ), MaxTrainingCount AS ( SELECT MAX(training_count) AS max_count FROM TrainingCounts ) SELECT A.Name, A.Position, 50 * TC.training_count AS cost FROM Physician A JOIN TrainingCounts TC ON A.EmployeeID = TC.Physician JOIN MaxTrainingCount MTC ON TC.training_count = MTC.max_count "
hospital_1," WITH MinMaxBlockFloor AS ( SELECT MIN(BlockFloor) AS MinBlockFloor, MAX(BlockFloor) AS MaxBlockFloor FROM Room ), Counts AS ( SELECT SUM(CASE WHEN BlockFloor = MinBlockFloor AND Unavailable = '0' THEN 1 ELSE 0 END) AS MinFloorCount, SUM(CASE WHEN BlockFloor = MaxBlockFloor AND Unavailable = '0' THEN 1 ELSE 0 END) AS MaxFloorCount FROM Room, MinMaxBlockFloor ) SELECT MaxFloorCount - MinFloorCount AS diff FROM Counts; "
riding_club," WITH total_club_count AS ( SELECT COUNT(*) AS total_count FROM club ) SELECT 100.0 * (COUNT(*) + 1) / MAX(total_count) AS ratio FROM club, total_club_count WHERE Start_year < 2009 AND Club_name != 'Helsingborgs IF'; "
