DBid,Original_Query
bike_1,"SELECT ( SELECT COUNT ( * ) FROM station WHERE city = 'Palo Alto' ) - COUNT ( * ) AS diff FROM station WHERE city = 'San Francisco'"
bike_1,"SELECT 100.0 * COUNT ( * ) / ( SELECT COUNT ( * ) FROM station WHERE city = 'San Francisco' ) AS propotion FROM station WHERE city = 'San Francisco' AND dock_count > 25"
driving_school,"SELECT A.staff_id , AVG ( A.price ) - ( SELECT AVG ( price ) FROM Lessons GROUP BY staff_id ORDER BY AVG ( price ) ASC LIMIT 1 ) AS diff FROM Lessons A JOIN Staff B ON A.staff_id = B.staff_id GROUP BY A.staff_id ORDER BY AVG ( A.price ) DESC LIMIT 1"
driving_school,"SELECT staff_id , AVG ( price ) - ( SELECT AVG ( price ) FROM ( SELECT A.staff_id , B.first_name , B.middle_name , B.last_name , A.price * ( 1 - 0.12 ) AS price FROM Lessons A JOIN Staff B ON A.staff_id = B.staff_id WHERE B.first_name = 'Winnifred' AND B.middle_name = 'Liam' AND B.last_name = 'Jast' UNION ALL SELECT A.staff_id , B.first_name , B.middle_name , B.last_name , A.price FROM Lessons A JOIN Staff B ON A.staff_id = B.staff_id WHERE NOT ( B.first_name = 'Winnifred' AND B.middle_name = 'Liam' AND B.last_name = 'Jast' ) ) GROUP BY staff_id ORDER BY AVG ( price ) ASC LIMIT 1 ) AS diff FROM ( SELECT A.staff_id , B.first_name , B.middle_name , B.last_name , A.price * ( 1 - 0.12 ) AS price FROM Lessons A JOIN Staff B ON A.staff_id = B.staff_id WHERE B.first_name = 'Winnifred' AND B.middle_name = 'Liam' AND B.last_name = 'Jast' UNION ALL SELECT A.staff_id , B.first_name , B.middle_name , B.last_name , A.price FROM Lessons A JOIN Staff B ON A.staff_id = B.staff_id WHERE NOT ( B.first_name = 'Winnifred' AND B.middle_name = 'Liam' AND B.last_name = 'Jast' ) ) GROUP BY staff_id ORDER BY AVG ( price ) DESC LIMIT 1"
formula_1,"SELECT 1.0 * ( SELECT COUNT ( * ) FROM circuits WHERE country = 'USA' ) / COUNT ( * ) AS ratio FROM circuits WHERE country = 'Russia'"
formula_1,"SELECT 1.0 * COUNT ( * ) / ( SELECT 1.0 * COUNT ( * ) FROM races A JOIN circuits B ON A.circuitId = B.circuitId WHERE A.year BETWEEN 2001 AND 2009 AND country = 'UK' ) AS ratio FROM races A JOIN circuits B ON A.circuitId = B.circuitId WHERE A.year BETWEEN 2001 AND 2009 AND country = 'USA'"
hospital_1,"SELECT COUNT ( DISTINCT ( Patient ) ) - ( SELECT COUNT ( DISTINCT ( Patient ) ) FROM Medication A JOIN Prescribes B ON A.code = B.Medication WHERE A.Brand = 'Baz Industries' ) AS diff FROM Medication A JOIN Prescribes B ON A.code = B.Medication WHERE A.Brand = 'Foo Labs'"
hospital_1,"SELECT A.Name , A.Position , 50 * COUNT ( * ) AS cost FROM Physician A JOIN Trained_In B ON A.EmployeeID = B.Physician GROUP BY A.EmployeeID HAVING COUNT ( * ) = ( SELECT MAX ( training_count ) FROM ( SELECT COUNT ( * ) AS training_count FROM Trained_In GROUP BY Physician ) )"
hospital_1,"SELECT COUNT ( * ) - ( SELECT COUNT ( * ) FROM Room WHERE Unavailable = '0' AND BlockFloor = ( SELECT MIN ( BlockFloor ) FROM Room ) ) AS diff FROM Room WHERE Unavailable = '0' AND BlockFloor = ( SELECT MAX ( BlockFloor ) FROM Room )"
riding_club,"SELECT 100.0 * ( COUNT ( * ) + 1 ) / ( SELECT COUNT ( * ) FROM club ) AS ratio FROM club WHERE Start_year < '2009' AND Club_name != 'Helsingborgs IF'"
