Queryid,Rewritten_Query
1," with customer_total_return as ( select sr_customer_sk as ctr_customer_sk, sr_store_sk as ctr_store_sk, sum(SR_FEE) as ctr_total_return from store_returns, date_dim where sr_returned_date_sk = d_date_sk and d_year = 2000 group by sr_customer_sk, sr_store_sk ), avg_store_return as ( select ctr_store_sk, avg(ctr_total_return) * 1.2 as avg_adjusted_return from customer_total_return group by ctr_store_sk ) select c_customer_id from customer_total_return ctr1 join store on s_store_sk = ctr1.ctr_store_sk join customer on ctr1.ctr_customer_sk = c_customer_sk join avg_store_return on ctr1.ctr_store_sk = avg_store_return.ctr_store_sk where ctr1.ctr_total_return > avg_store_return.avg_adjusted_return and s_state = 'TN' order by c_customer_id limit 100; "
3,"with filtered_store_sales as (select * from store_sales where ss_item_sk in (select i_item_sk from item where i_manufact_id = 816)) select dt.d_year, item.i_brand_id brand_id, item.i_brand brand, sum(ss_sales_price) sum_agg from date_dim dt, filtered_store_sales as store_sales, item where dt.d_date_sk = store_sales.ss_sold_date_sk and store_sales.ss_item_sk = item.i_item_sk and item.i_manufact_id = 816 and dt.d_moy=11 group by dt.d_year, item.i_brand, item.i_brand_id order by dt.d_year, sum_agg desc, brand_id limit 100;"
5," with filtered_store_sales as ( select * from store_sales where ss_sold_date_sk in ( select d_date_sk from date_dim where d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) ) ), filtered_store_returns as ( select * from store_returns where sr_returned_date_sk in ( select d_date_sk from date_dim where d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) ) ), filtered_catalog_sales as ( select * from catalog_sales where cs_sold_date_sk in ( select d_date_sk from date_dim where d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) ) ), filtered_catalog_returns as ( select * from catalog_returns where cr_returned_date_sk in ( select d_date_sk from date_dim where d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) ) ), filtered_web_sales as ( select * from web_sales where ws_sold_date_sk in ( select d_date_sk from date_dim where d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) ) ), filtered_web_returns as ( select * from web_returns where wr_returned_date_sk in ( select d_date_sk from date_dim where d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) ) ), ssr as ( select s_store_id, sum(sales_price) as sales, sum(profit) as profit, sum(return_amt) as returns, sum(net_loss) as profit_loss from ( select ss_store_sk as store_sk, ss_sold_date_sk as date_sk, ss_ext_sales_price as sales_price, ss_net_profit as profit, cast(0 as decimal(7,2)) as return_amt, cast(0 as decimal(7,2)) as net_loss from filtered_store_sales union all select sr_store_sk as store_sk, sr_returned_date_sk as date_sk, cast(0 as decimal(7,2)) as sales_price, cast(0 as decimal(7,2)) as profit, sr_return_amt as return_amt, sr_net_loss as net_loss from filtered_store_returns ) salesreturns, date_dim, store where date_sk = d_date_sk and d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) and store_sk = s_store_sk group by s_store_id ), csr as ( select cp_catalog_page_id, sum(sales_price) as sales, sum(profit) as profit, sum(return_amt) as returns, sum(net_loss) as profit_loss from ( select cs_catalog_page_sk as page_sk, cs_sold_date_sk as date_sk, cs_ext_sales_price as sales_price, cs_net_profit as profit, cast(0 as decimal(7,2)) as return_amt, cast(0 as decimal(7,2)) as net_loss from filtered_catalog_sales union all select cr_catalog_page_sk as page_sk, cr_returned_date_sk as date_sk, cast(0 as decimal(7,2)) as sales_price, cast(0 as decimal(7,2)) as profit, cr_return_amount as return_amt, cr_net_loss as net_loss from filtered_catalog_returns ) salesreturns, date_dim, catalog_page where date_sk = d_date_sk and d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) and page_sk = cp_catalog_page_sk group by cp_catalog_page_id ), wsr as ( select web_site_id, sum(sales_price) as sales, sum(profit) as profit, sum(return_amt) as returns, sum(net_loss) as profit_loss from ( select ws_web_site_sk as wsr_web_site_sk, ws_sold_date_sk as date_sk, ws_ext_sales_price as sales_price, ws_net_profit as profit, cast(0 as decimal(7,2)) as return_amt, cast(0 as decimal(7,2)) as net_loss from filtered_web_sales union all select ws_web_site_sk as wsr_web_site_sk, wr_returned_date_sk as date_sk, cast(0 as decimal(7,2)) as sales_price, cast(0 as decimal(7,2)) as profit, wr_return_amt as return_amt, wr_net_loss as net_loss from filtered_web_returns left outer join web_sales on (wr_item_sk = ws_item_sk and wr_order_number = ws_order_number) ) salesreturns, date_dim, web_site where date_sk = d_date_sk and d_date between cast('2000-08-19' as date) and (cast('2000-08-19' as date) + interval '14' day) and wsr_web_site_sk = web_site_sk group by web_site_id ) select channel, id, sum(sales) as sales, sum(returns) as returns, sum(profit) as profit from ( select 'store channel' as channel, 'store' || s_store_id as id, sales, returns, (profit - profit_loss) as profit from ssr union all select 'catalog channel' as channel, 'catalog_page' || cp_catalog_page_id as id, sales, returns, (profit - profit_loss) as profit from csr union all select 'web channel' as channel, 'web_site' || web_site_id as id, sales, returns, (profit - profit_loss) as profit from wsr ) x group by rollup (channel, id) order by channel, id limit 100; "
6," WITH date_seq AS ( SELECT d_month_seq FROM date_dim WHERE d_year = 2002 AND d_moy = 3 LIMIT 1 ), category_avg_price AS ( SELECT i_category, AVG(i_current_price) AS avg_price FROM item GROUP BY i_category ) SELECT a.ca_state AS state, COUNT(*) AS cnt FROM customer_address a JOIN customer c ON a.ca_address_sk = c.c_current_addr_sk JOIN store_sales s ON c.c_customer_sk = s.ss_customer_sk JOIN date_dim d ON s.ss_sold_date_sk = d.d_date_sk JOIN item i ON s.ss_item_sk = i.i_item_sk JOIN date_seq ds ON d.d_month_seq = ds.d_month_seq JOIN category_avg_price cap ON i.i_category = cap.i_category WHERE i.i_current_price > 1.2 * cap.avg_price GROUP BY a.ca_state HAVING COUNT(*) >= 10 ORDER BY cnt, a.ca_state LIMIT 100;"
9," WITH bucket AS ( SELECT CASE WHEN ss_quantity BETWEEN 1 AND 20 THEN 1 WHEN ss_quantity BETWEEN 21 AND 40 THEN 2 WHEN ss_quantity BETWEEN 41 AND 60 THEN 3 WHEN ss_quantity BETWEEN 61 AND 80 THEN 4 WHEN ss_quantity BETWEEN 81 AND 100 THEN 5 END AS quantity_range, COUNT(*) AS cnt, AVG(ss_ext_tax) AS avg_ext_tax, AVG(ss_net_paid_inc_tax) AS avg_net_paid_inc_tax FROM store_sales GROUP BY CASE WHEN ss_quantity BETWEEN 1 AND 20 THEN 1 WHEN ss_quantity BETWEEN 21 AND 40 THEN 2 WHEN ss_quantity BETWEEN 41 AND 60 THEN 3 WHEN ss_quantity BETWEEN 61 AND 80 THEN 4 WHEN ss_quantity BETWEEN 81 AND 100 THEN 5 END ) SELECT CASE WHEN b1.cnt > 1071 THEN b1.avg_ext_tax ELSE b1.avg_net_paid_inc_tax END AS bucket1, CASE WHEN b2.cnt > 39161 THEN b2.avg_ext_tax ELSE b2.avg_net_paid_inc_tax END AS bucket2, CASE WHEN b3.cnt > 29434 THEN b3.avg_ext_tax ELSE b3.avg_net_paid_inc_tax END AS bucket3, CASE WHEN b4.cnt > 6568 THEN b4.avg_ext_tax ELSE b4.avg_net_paid_inc_tax END AS bucket4, CASE WHEN b5.cnt > 21216 THEN b5.avg_ext_tax ELSE b5.avg_net_paid_inc_tax END AS bucket5 FROM (SELECT * FROM bucket WHERE quantity_range = 1) b1, (SELECT * FROM bucket WHERE quantity_range = 2) b2, (SELECT * FROM bucket WHERE quantity_range = 3) b3, (SELECT * FROM bucket WHERE quantity_range = 4) b4, (SELECT * FROM bucket WHERE quantity_range = 5) b5, reason WHERE r_reason_sk = 1; "
10," with filtered_customer as ( select * from customer where c_current_addr_sk in ( select ca_address_sk from customer_address where ca_county in ('Fairfield County','Campbell County','Washtenaw County','Escambia County','Cleburne County','United States','1') ) ) select cd_gender, cd_marital_status, cd_education_status, count(*) cnt1, cd_purchase_estimate, count(*) cnt2, cd_credit_rating, count(*) cnt3, cd_dep_count, count(*) cnt4, cd_dep_employed_count, count(*) cnt5, cd_dep_college_count, count(*) cnt6 from filtered_customer as c, customer_address ca, customer_demographics where c.c_current_addr_sk = ca.ca_address_sk and ca_county in ('Fairfield County','Campbell County','Washtenaw County','Escambia County','Cleburne County','United States','1') and cd_demo_sk = c.c_current_cdemo_sk and exists ( select * from store_sales, date_dim where c.c_customer_sk = ss_customer_sk and ss_sold_date_sk = d_date_sk and d_year = 1999 and d_moy between 1 and 12 ) and ( exists ( select * from web_sales, date_dim where c.c_customer_sk = ws_bill_customer_sk and ws_sold_date_sk = d_date_sk and d_year = 1999 and d_moy between 1 and 12 ) or exists ( select * from catalog_sales, date_dim where c.c_customer_sk = cs_ship_customer_sk and cs_sold_date_sk = d_date_sk and d_year = 1999 and d_moy between 1 and 12 ) ) group by cd_gender, cd_marital_status, cd_education_status, cd_purchase_estimate, cd_credit_rating, cd_dep_count, cd_dep_employed_count, cd_dep_college_count order by cd_gender, cd_marital_status, cd_education_status, cd_purchase_estimate, cd_credit_rating, cd_dep_count, cd_dep_employed_count, cd_dep_college_count limit 100; "
12," with filtered_web_sales as ( select * from web_sales where ws_sold_date_sk in ( select d_date_sk from date_dim where d_date between cast('2001-06-15' as date) and (cast('2001-06-15' as date) + interval '30' day) ) ) select i_item_id, i_item_desc, i_category, i_class, i_current_price, sum(ws_ext_sales_price) as itemrevenue, sum(ws_ext_sales_price) * 100 / sum(sum(ws_ext_sales_price)) over (partition by i_class) as revenueratio from filtered_web_sales as web_sales, item, date_dim where ws_item_sk = i_item_sk and i_category in ('Men', 'Books', 'Electronics') and ws_sold_date_sk = d_date_sk and d_date between cast('2001-06-15' as date) and (cast('2001-06-15' as date) + interval '30' day) group by i_item_id, i_item_desc, i_category, i_class, i_current_price order by i_category, i_class, i_item_id, i_item_desc, revenueratio limit 100; "
15," WITH filtered_catalog_sales AS ( SELECT * FROM catalog_sales WHERE cs_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_qoy = 2 AND d_year = 2001 ) ) SELECT ca_zip, SUM(cs_sales_price) FROM filtered_catalog_sales, customer, customer_address, date_dim WHERE cs_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND (SUBSTR(ca_zip, 1, 5) IN ('85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792') OR ca_state IN ('CA', 'WA', 'GA') OR cs_sales_price > 500) AND cs_sold_date_sk = d_date_sk AND d_qoy = 2 AND d_year = 2001 GROUP BY ca_zip ORDER BY ca_zip LIMIT 100; "
17,"WITH filtered_store_sales AS ( SELECT * FROM store_sales WHERE ss_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_quarter_name = '2001Q1' ) ), filtered_store_returns AS ( SELECT * FROM store_returns WHERE sr_returned_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_quarter_name IN ('2001Q1', '2001Q2', '2001Q3') ) ), filtered_catalog_sales AS ( SELECT * FROM catalog_sales WHERE cs_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_quarter_name IN ('2001Q1', '2001Q2', '2001Q3') ) ) SELECT i_item_id, i_item_desc, s_state, COUNT(ss_quantity) AS store_sales_quantitycount, AVG(ss_quantity) AS store_sales_quantityave, STDDEV_SAMP(ss_quantity) AS store_sales_quantitystdev, STDDEV_SAMP(ss_quantity) / AVG(ss_quantity) AS store_sales_quantitycov, COUNT(sr_return_quantity) AS store_returns_quantitycount, AVG(sr_return_quantity) AS store_returns_quantityave, STDDEV_SAMP(sr_return_quantity) AS store_returns_quantitystdev, STDDEV_SAMP(sr_return_quantity) / AVG(sr_return_quantity) AS store_returns_quantitycov, COUNT(cs_quantity) AS catalog_sales_quantitycount, AVG(cs_quantity) AS catalog_sales_quantityave, STDDEV_SAMP(cs_quantity) AS catalog_sales_quantitystdev, STDDEV_SAMP(cs_quantity) / AVG(cs_quantity) AS catalog_sales_quantitycov FROM filtered_store_sales JOIN filtered_store_returns ON ss_customer_sk = sr_customer_sk AND ss_item_sk = sr_item_sk AND ss_ticket_number = sr_ticket_number JOIN filtered_catalog_sales ON sr_customer_sk = cs_bill_customer_sk AND sr_item_sk = cs_item_sk JOIN date_dim d1 ON d1.d_date_sk = ss_sold_date_sk JOIN date_dim d2 ON sr_returned_date_sk = d2.d_date_sk JOIN date_dim d3 ON cs_sold_date_sk = d3.d_date_sk JOIN store ON s_store_sk = ss_store_sk JOIN item ON i_item_sk = ss_item_sk WHERE d1.d_quarter_name = '2001Q1' AND d2.d_quarter_name IN ('2001Q1', '2001Q2', '2001Q3') AND d3.d_quarter_name IN ('2001Q1', '2001Q2', '2001Q3') GROUP BY i_item_id, i_item_desc, s_state ORDER BY i_item_id, i_item_desc, s_state LIMIT 100; "
18," WITH filtered_sales AS ( SELECT cs_item_sk, cs_quantity, cs_list_price, cs_coupon_amt, cs_sales_price, cs_net_profit, cs_sold_date_sk, cs_bill_cdemo_sk, cs_bill_customer_sk FROM catalog_sales WHERE cs_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_year = 2001 ) ), filtered_customers AS ( SELECT c_customer_sk, c_current_cdemo_sk, c_current_addr_sk, c_birth_year, c_birth_month FROM customer WHERE c_birth_month IN (1, 3, 7, 11, 10, 4) ), filtered_addresses AS ( SELECT ca_address_sk, ca_country, ca_state, ca_county FROM customer_address WHERE ca_state IN ('AL', 'MO', 'TN', 'GA', 'MT', 'IN', 'CA') ), cd1_subset AS ( SELECT cd_demo_sk, cd_dep_count FROM customer_demographics WHERE cd_gender = 'F' AND cd_education_status = 'Primary' ), cd2_subset AS ( SELECT cd_demo_sk, cd_dep_count FROM customer_demographics ), final_sales AS ( SELECT fs.cs_item_sk, fs.cs_quantity, fs.cs_list_price, fs.cs_coupon_amt, fs.cs_sales_price, fs.cs_net_profit, c.c_birth_year, cd1.cd_dep_count cd1_dep_count, ca.ca_country, ca.ca_state, ca.ca_county FROM filtered_sales fs JOIN filtered_customers c ON fs.cs_bill_customer_sk = c.c_customer_sk JOIN filtered_addresses ca ON c.c_current_addr_sk = ca.ca_address_sk JOIN cd1_subset cd1 ON fs.cs_bill_cdemo_sk = cd1.cd_demo_sk JOIN cd2_subset cd2 ON c.c_current_cdemo_sk = cd2.cd_demo_sk WHERE fs.cs_sold_date_sk IN ( SELECT d_date_sk FROM date_dim WHERE d_year = 2001 ) ) SELECT i_item_id, ca_country, ca_state, ca_county, AVG(CAST(cs_quantity AS decimal(12,2))) agg1, AVG(CAST(cs_list_price AS decimal(12,2))) agg2, AVG(CAST(cs_coupon_amt AS decimal(12,2))) agg3, AVG(CAST(cs_sales_price AS decimal(12,2))) agg4, AVG(CAST(cs_net_profit AS decimal(12,2))) agg5, AVG(CAST(c_birth_year AS decimal(12,2))) agg6, AVG(CAST(cd1_dep_count AS decimal(12,2))) agg7 FROM final_sales fs JOIN item i ON fs.cs_item_sk = i.i_item_sk GROUP BY ROLLUP (i_item_id, ca_country, ca_state, ca_county) ORDER BY ca_country, ca_state, ca_county, i_item_id LIMIT 100;"
